"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"三菱电机株式会社","乐天株式会社","G06F17/30; G06T1/00; G01J3/50; G06T7/00; H04N1/46; H04N9/64; G06V10/56","日本","日本东京都","日本","日本"
"LG电子株式会社","微软技术许可有限责任公司","G06F3/02; H01G4/00; H01G4/40; H01H35/00; H03K17/96","韩国","美国华盛顿州","韩国","美国"
"沈阳大学","深圳恒远志达信息科技有限公司","G06F30/23; G06F30/20; G06F30/13; G06F30/17; G06F111/10; G06F113/06; G06F113/26; G06F119/14","辽宁","518000 广东省深圳市龙华区大浪街道同胜社区华兴路13号智云产业园A栋1104","辽宁","51"
"山东师范大学","合肥智慧龙机械设计有限公司","G06V20/54; G06V10/46; G06V10/24; G06V10/56; G06V10/774; G06K9/62; G06T17/00","山东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","山东","23"
"浪潮电子信息产业股份有限公司","浪潮云信息技术有限公司","G06F9/445","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"欧芬诺有限责任公司","荣耀终端有限公司","H04L41/06; H04W36/00; H04W36/08; H04W36/30; H04W36/38","美国","广东省深圳市福田区香蜜湖街道红荔西路8089号深业中城6号楼A单元3401","美国","广东"
"广州小鹏汽车科技有限公司","广州小鹏自动驾驶科技有限公司","G06K9/62","广东","510000 广东省广州市黄埔区中新知识城亿创街1号406房之46","广东","51"
"成都亚度克升科技有限公司","中数智创科技有限公司","G06F16/9535; G06F16/9536; G06Q50/00; G06N3/0442; G06F11/34","四川","050000 河北省石家庄市裕华区谈固南大街45号神农大厦1903","四川","05"
"三菱电机株式会社","瑞萨电子株式会社","H04L7/00; G06F1/04; G06F1/08; H03K3/00; H03K3/02; H03L7/07; H03L7/08; H03L7/081; H03L7/095; H03L7/16","日本","日本神奈川县川崎市","日本","日本"
"英特尔公司","苹果公司","H04L1/00; H04W28/08; H04W28/02; H04W48/06; H04W76/18; H04W4/70","美国","美国加利福尼亚州","美国","美国"
"北京拓思德科技有限公司; 北京奇禄管理咨询有限公司; 田雪松","田雪松; 北京奇禄管理咨询有限公司; 北京拓思德科技有限公司","G06F3/0354; G06F3/038","北京","100098 北京市海淀区北三环西路甲18号院2号楼803-3; 100044 北京市海淀区中关村大街18号8层04-758; 100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100029 北京市朝阳区北辰西路69号峻峰华亭D座1012","北京","10"
"飞思卡尔半导体公司","恩智浦美国有限公司","G06F13/38; G06F13/40; H04W4/80; H04W76/15","美国","美国德克萨斯州","美国","美国"
"武汉轻工大学","合肥智慧龙机械设计有限公司","G06Q10/0639; G06Q50/04","湖北","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","湖北","23"
"华东交通大学","广州大鱼创福科技有限公司","G06Q10/02; G06Q10/0631; G06Q50/30","江西","510530 广东省广州市黄埔区科丰路85号801房","江西","51"
"武汉科技大学","东北大学","G06F30/20","湖北","110001 辽宁省沈阳市和平区文化路3号巷11号","湖北","11"
"黑莓有限公司","华为技术有限公司","H04L12/58; H04L29/06; H04L29/08; H04Q7/22","加拿大","广东省深圳市龙岗区坂田华为总部办公楼","加拿","广东"
"上海浪潮云计算服务有限公司","浪潮云信息技术有限公司","H04L29/08","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"武汉康慧然信息技术咨询有限公司","链博(成都)科技有限公司","H04L29/08","四川","610000 四川省成都市中国(四川)自由贸易试验区成都高新区世纪城南路599号7栋304号","四川","61"
"深圳市宇恒互动科技开发有限公司","深圳荞漾人工智能集团有限公司","G06F3/01; G06F17/30","广东","518000 广东省深圳市南山区粤海街道麻岭社区麻雀岭工业区9栋华富洋供应链大厦B022","广东","51"
"浙江工商大学","河北凯通信息技术服务有限公司","H04L9/08","浙江","073000 河北省保定市定州市商业街与兴定路交叉口北行200米路西(爵仕山小区3幢19层1910号)","浙江","07"
"皇家飞利浦有限公司","北京小米移动软件有限公司","G06F3/01; G06F3/03","荷兰","北京市海淀区清河中街68号华润五彩城购物中心二期9层01房间","荷兰","北京"
"国际商业机器公司","脸谱公司","G06F9/44; G06F3/14","美国","美国加利福尼亚州","美国","美国"
